No,Candidato,Formacion Academica,Experiencia Profesional,Proyeccion Humana,Cualidades Eticas,Total
1,Yaquelin Alejandra Azmítia Poroj,0,0,0,-,0
2,Mayra Yolanda Veliz López,0,0,0,-,0
3,Ilse Magalia Álvarez Ortiz de Espada,0,0,0,-,0
4,Heidy Tamara de León Muñoz,0,0,0,-,0
5,Edgar Estuardo Melchor Solorzano,0,0,0,-,0
6,Francisco Javier Puac Choz,0,0,0,-,0
7,Erick Alfonso Álvarez Mancilla,0,0,0,-,0
8,Gladys Verónica Ponce Mejicanos,0,0,0,-,0
9,Édgar Enrique Lemus Orellana,0,0,0,-,0
10,Claudia Lissette Escobar Mejía,0,0,0,-,0
11,Óscar Arturo Schaad Pérez,0,0,0,-,0
12,Óscar Adolfo Morales Montufar,0,0,0,-,0
13,Thelma Shayne Ochaeta Argueta,0,0,0,-,0
14,Ranulfo Rafael Rojas Cetina,0,0,0,-,0
15,Roberto Molina Barreto,0,0,0,-,0
16,Wílber Ricardo Enríquez Jocol,0,0,0,-,0
17,Sergio Danilo Castro Basteguiete,0,0,0,-,0
18,Mynor Alberto Melgar Valenzuela,0,0,0,-,0
19,Wálter Paulino Jiménez Texaj,0,0,0,-,0
20,Mynor Francisco Hernández Castillo,0,0,0,-,0
21,María Consuelo Porras Argueta,0,0,0,-,0
22,Delia Marina Davila Salazar,0,0,0,-,0
23,Fausto Corado Moran,0,0,0,-,0
24,Emma Patricia Guillermo de Leon de Chea,0,0,0,-,0
25,María Eugenia Castellanos Cruz de Delgado,0,0,0,-,0
26,Claudia Lucrecia Paredes Castañeda,0,0,0,-,0
27,Eliseo Rigoberto Francisco Quiñónez Villagrán,0,0,0,-,0
28,Miguel Ángel Gálvez Aguilar,0,0,0,-,0
29,Óscar Rolando Contreras Hernández,0,0,0,-,0
30,Marco Antonio Turcios Ruíz,0,0,0,-,0
31,Manfredo René Velásquez Gallo,0,0,0,-,0
32,Brenda Dery Muñoz Sánchez de Molina,0,0,0,-,0
33,Franc Armando Martínez Ruiz,0,0,0,-,0
34,Rolando López Morán,0,0,0,-,0
35,Verónica del Rosario Galicia Marroquín,0,0,0,-,0
36,Carlos Arsenio Pérez Cheguen,0,0,0,-,0
37,Roaldo Isaías Chávez Pérez,0,0,0,-,0
38,Acisclo Valladares Molina,0,0,0,-,0
39,Patricia Elizabet Gámez Barrera,0,0,0,-,0
